STT,Tinh_Thanh_Pho,Ten_Phong,Dia_Chi,So_Dien_Thoai,Email,Website
14,Tỉnh Gia Lai,Phòng Doanh nghiệp và Kinh tế tập thể,"Số 181-183 Lê Hồng Phong, Tỉnh Gia Lai",0256.3903666 - 0269.3823713,gialai.dnkttt@gmail.com,https://stc.gialai.gov.vn/
15,Tỉnh Hà Tĩnh,Phòng Đăng ký kinh doanh,"Khu đô thị Bắc Nguyễn Du, Thành phố Hà Tĩnh",02393 881263,phongdkkdht@gmail.com,
16,Tỉnh Hưng Yên,Phòng Đăng ký kinh doanh,"Số 8 đường Chùa Chuông, Tỉnh Hưng Yên",02273830182,nvtuanq2k5@gmail.com,
17,Tỉnh Khánh Hoà,Phòng Quản lý doanh nghiệp,"Số 84 Hoàng Hoa Thám, Tỉnh Khánh Hòa",0258 3822176,dkkd.skhdt@khanhhoa.gov.vn,https://stc.khanhhoa.gov.vn/
18,Tỉnh Lai Châu,Phòng Quản lý doanh nghiệp và Đăng ký kinh doanh,"P Tân Phong, Thành phố Lai Châu",0213 3876 438,dkkdlaichau@gmail.com,
19,Tỉnh Lạng Sơn,Phòng Đăng ký kinh doanh,"Xã Mai Pha, Thành phố Lạng Sơn",(0205)3 812 488 - (0205)3 800 006,Phongdkkdls@gmail.com,
20,Tỉnh Lào Cai,Phòng Doanh nghiệp,"Số 1183 Yên Ninh, Tỉnh Lào Cai",02163.851.691,phongdoanhnghieplaocai@gmail.com,http://laocai.gov.vn
21,Tỉnh Lâm Đồng,Phòng Đăng ký kinh doanh,"Số 36, Trần Phú, Thành phố Đà Lạt",02633532268-0263 3827165,dkkd.skh@lamdong.gov.vn,
22,Tỉnh Nghệ An,Phòng Đăng ký kinh doanh,"Số 368 Đường Lê Nin, Tỉnh Nghệ An",0889391818,dkkd@khdt.nghean.gov.vn,
23,Tỉnh Ninh Bình,Phòng Doanh nghiệp,"Đường Nguyễn Bặc, Phường Hoa Lư, Tỉnh Ninh Bình",0229 3883535,phongdkkdtinhninhbinh@gmail.com,http://ninhbinh.gov.vn
24,Tỉnh Phú Thọ,Phòng Đăng ký kinh doanh,"Số 3, đường Trần Phú, Tỉnh Phú Thọ",02103 666 999,pdkkdphutho@gmail.com,
25,Tỉnh Quảng Ngãi,Phòng Đăng ký kinh doanh,"238 Phan Bội Châu, Tỉnh Quảng Ngãi",0255 382 2730,dangkykinhdoanhqn@gmail.com,https://stc.quangngai.gov.vn
26,Tỉnh Quảng Ninh,Phòng Quản lý doanh nghiệp,"đường Nguyễn Văn Cừ, Thành phố Hạ Long",0203 383 4300,pddk.qnh@gmail.com,www.quangninhdpi.gov.vn
27,Tỉnh Quảng Trị,Phòng Đăng ký kinh doanh,"Số 6-8, Đường 23-8, Tỉnh Quảng Trị",0233 3555414,dkkd@quangtri.gov.vn,
28,Tỉnh Sơn La,Phòng Quản lý doanh nghiệp và Đăng ký kinh doanh,Sở Tài chính tỉnh Sơn La,0212 3852019,dkkd.stc@sonla.gov.vn,
29,Tỉnh Tây Ninh,Phòng Đăng ký kinh doanh,"Số 61 Trương Định, Tỉnh Tây Ninh",0272.3826.428,dkkdtayninh@gmail.com,
30,Tỉnh Thái Nguyên,Phòng Đăng ký kinh doanh,"Số 16A đường Nha Trang, Tỉnh Thái Nguyên",0208 385 4237,dkkd.thainguyen@gmail.com,http://sokhdt.thainguyen.gov.vn/
31,Tỉnh Thanh Hoá,Phòng Đăng ký kinh doanh,"Số 01A15 Đại lộ Lê Lợi, Tỉnh Thanh Hoá",0237 385 1450,dkkdth36@gmail.com,https://stc.thanhhoa.gov.vn
32,Thành phố Huế,Phòng Đăng ký kinh doanh,"07 Tôn Đức Thắng, Thành phố Huế",0234 3846367,dangkykinhdoanh@hue.gov.vn,
33,Tỉnh Tuyên Quang,Phòng Doanh nghiệp và Đăng ký kinh doanh,"Thành phố Tuyên Quang, Tỉnh Tuyên Quang",0207 388 9988,dkkdtq@gmail.com,http://tuyenquang.gov.vn
34,Tỉnh Vĩnh Long,Phòng Phát triển doanh nghiệp và Kinh tế tập thể,"số 88B, đường Võ Văn Kiệt, Tỉnh Vĩnh Long",0270 3824033,dkkdvinhlong@gmail.com,
